year,hcmc_temp,hanoi_temp,globe_temp,hcmc_ma3,hcmc_ma10,hanoi_ma3,hanoi_ma10,globe_ma3,globe_ma10
1840,26.63,21.00,7.80,,,,,,
1841,27.02,21.30,7.69,,,,,,
1842,26.87,21.16,8.02,26.84,,21.15,,7.84,
1843,26.94,21.26,8.17,26.94,,21.24,,7.96,
1844,26.41,20.78,7.65,26.74,,21.07,,7.95,
1845,26.12,20.68,7.85,26.49,,20.91,,7.89,
1846,26.94,21.25,8.55,26.49,,20.90,,8.02,
1847,26.41,20.83,8.09,26.49,,20.92,,8.16,
1850,26.65,21.11,7.90,26.67,,21.06,,8.18,
1851,26.82,21.26,8.18,26.63,26.68,21.07,21.06,8.06,7.99
1852,26.70,21.12,8.10,26.72,26.69,21.16,21.08,8.06,8.02
1853,26.87,21.51,8.04,26.80,26.67,21.30,21.10,8.11,8.06
1854,26.89,21.45,8.21,26.82,26.68,21.36,21.13,8.12,8.07
1855,26.76,21.10,8.11,26.84,26.66,21.35,21.11,8.12,8.07
1856,26.53,20.69,8.00,26.73,26.67,21.08,21.10,8.11,8.10
1857,26.51,20.89,7.76,26.60,26.71,20.89,21.12,7.96,8.09
1858,26.83,21.10,8.10,26.62,26.70,20.89,21.11,7.95,8.05
1859,26.88,21.24,8.25,26.74,26.74,21.08,21.15,8.04,8.07
1860,26.69,21.12,7.96,26.80,26.75,21.15,21.15,8.10,8.07
1861,26.58,20.95,7.85,26.72,26.72,21.10,21.12,8.02,8.04
1862,24.85,20.48,7.56,26.04,26.54,20.85,21.05,7.79,7.98
1863,26.67,20.90,8.11,26.03,26.52,20.78,20.99,7.84,7.99
1864,26.52,20.77,7.98,26.01,26.48,20.72,20.92,7.88,7.97
1865,26.89,21.41,8.18,26.69,26.50,21.03,20.96,8.09,7.98
1866,26.84,21.24,8.29,26.75,26.53,21.14,21.01,8.15,8.00
1867,26.86,21.40,8.44,26.86,26.56,21.35,21.06,8.30,8.07
1868,27.06,21.53,8.25,26.92,26.58,21.39,21.10,8.33,8.09
1869,26.64,21.18,8.43,26.85,26.56,21.37,21.10,8.37,8.11
1870,26.51,21.35,8.20,26.74,26.54,21.35,21.12,8.29,8.13
1871,26.54,21.30,8.12,26.56,26.54,21.28,21.16,8.25,8.16
1872,26.87,21.47,8.19,26.64,26.74,21.37,21.26,8.17,8.22
1873,26.95,21.32,8.35,26.79,26.77,21.36,21.30,8.22,8.24
1874,27.03,21.40,8.43,26.95,26.82,21.40,21.36,8.32,8.29
1875,26.52,21.10,7.86,26.83,26.78,21.27,21.33,8.21,8.26
1876,26.40,20.90,8.08,26.65,26.74,21.13,21.30,8.12,8.24
1877,27.15,21.36,8.54,26.69,26.77,21.12,21.29,8.16,8.25
1878,27.44,21.69,8.83,27.00,26.81,21.32,21.31,8.48,8.30
1879,26.76,21.55,8.17,27.12,26.82,21.53,21.34,8.51,8.28
1880,26.75,20.99,8.12,26.98,26.84,21.41,21.31,8.37,8.27
1881,26.89,21.27,8.27,26.80,26.88,21.27,21.31,8.19,8.28
1882,26.84,21.18,8.13,26.83,26.87,21.15,21.28,8.17,8.28
1883,26.67,20.83,7.98,26.80,26.85,21.09,21.23,8.13,8.24
1884,26.40,20.57,7.77,26.64,26.78,20.86,21.14,7.96,8.18
1885,26.87,20.88,7.92,26.65,26.82,20.76,21.12,7.89,8.18
1886,26.65,20.95,7.95,26.64,26.84,20.80,21.13,7.88,8.17
1887,26.34,21.03,7.91,26.62,26.76,20.95,21.09,7.93,8.11
1888,27.04,21.43,8.09,26.68,26.72,21.14,21.07,7.98,8.03
1889,27.12,21.46,8.32,26.83,26.76,21.31,21.06,8.11,8.05
1890,26.72,21.54,7.97,26.96,26.75,21.48,21.11,8.13,8.03
1891,26.93,21.41,8.02,26.92,26.76,21.47,21.13,8.10,8.01
1892,26.36,20.70,8.07,26.67,26.71,21.22,21.08,8.02,8.00
1893,26.38,20.68,8.06,26.56,26.68,20.93,21.07,8.05,8.01
1894,26.59,21.15,8.16,26.44,26.70,20.84,21.12,8.10,8.05
1895,26.91,21.35,8.15,26.63,26.70,21.06,21.17,8.12,8.07
1896,26.94,21.32,8.21,26.81,26.73,21.27,21.21,8.17,8.10
1897,27.39,21.50,8.29,27.08,26.84,21.39,21.25,8.22,8.13
1898,26.77,21.47,8.18,27.03,26.81,21.43,21.26,8.23,8.14
1899,26.70,21.15,8.40,26.95,26.77,21.37,21.23,8.29,8.15
1900,27.24,21.21,8.50,26.90,26.82,21.28,21.19,8.36,8.20
1901,26.94,21.38,8.54,26.96,26.82,21.25,21.19,8.48,8.26
1902,26.92,22.07,8.30,27.03,26.88,21.55,21.33,8.45,8.28
1903,27.06,21.07,8.22,26.97,26.95,21.51,21.37,8.35,8.30
1904,26.73,21.33,8.09,26.90,26.96,21.49,21.39,8.20,8.29
1905,27.32,21.22,8.23,27.04,27.00,21.21,21.37,8.18,8.30
1906,27.26,21.71,8.38,27.10,27.03,21.42,21.41,8.23,8.31
1907,26.95,21.30,7.95,27.18,26.99,21.41,21.39,8.19,8.28
1908,26.77,21.06,8.19,26.99,26.99,21.36,21.35,8.17,8.28
1909,26.96,21.43,8.18,26.89,27.02,21.26,21.38,8.11,8.26
1910,26.98,21.16,8.22,26.90,26.99,21.22,21.37,8.20,8.23
1911,27.28,21.65,8.18,27.07,27.02,21.41,21.40,8.19,8.19
1912,27.56,21.39,8.17,27.27,27.09,21.40,21.33,8.19,8.18
1913,26.92,21.14,8.30,27.25,27.07,21.39,21.34,8.22,8.19
1914,27.31,22.07,8.59,27.26,27.13,21.53,21.41,8.35,8.24
1915,27.32,21.90,8.59,27.18,27.13,21.70,21.48,8.49,8.28
1916,26.52,21.07,8.23,27.05,27.06,21.68,21.42,8.47,8.26
1917,26.54,20.67,8.02,26.79,27.02,21.21,21.35,8.28,8.27
1918,26.70,21.11,8.13,26.59,27.01,20.95,21.36,8.13,8.26
1919,27.33,21.80,8.38,26.86,27.05,21.19,21.40,8.18,8.28
1920,27.08,21.60,8.36,27.04,27.06,21.50,21.44,8.29,8.30
1921,26.82,21.55,8.57,27.08,27.01,21.65,21.43,8.44,8.33
1922,27.08,21.72,8.41,26.99,26.96,21.62,21.46,8.45,8.36
1923,26.98,22.04,8.42,26.96,26.97,21.77,21.55,8.47,8.37
1924,27.12,21.81,8.51,27.06,26.95,21.86,21.53,8.45,8.36
1925,26.87,21.08,8.53,26.99,26.90,21.64,21.45,8.49,8.36
1926,27.40,21.46,8.73,27.13,26.99,21.45,21.48,8.59,8.41
1927,27.14,21.54,8.52,27.14,27.05,21.36,21.57,8.59,8.46
1928,26.82,21.51,8.63,27.12,27.06,21.50,21.61,8.63,8.51
1929,26.80,21.57,8.24,26.92,27.01,21.54,21.59,8.46,8.49
1930,27.29,21.42,8.63,26.97,27.03,21.50,21.57,8.50,8.52
1931,27.54,22.02,8.72,27.21,27.10,21.67,21.62,8.53,8.53
1932,26.98,21.21,8.71,27.27,27.09,21.55,21.57,8.69,8.56
1933,27.20,21.55,8.34,27.24,27.12,21.59,21.52,8.59,8.56
1934,26.91,21.13,8.63,27.03,27.10,21.30,21.45,8.56,8.57
1935,27.43,22.04,8.52,27.18,27.15,21.57,21.55,8.50,8.57
1936,27.51,21.28,8.55,27.28,27.16,21.48,21.53,8.57,8.55
1937,27.56,22.04,8.70,27.50,27.20,21.79,21.58,8.59,8.57
